"AA9_1"	"AA9_2"	"AA9_3"	"DMSO_1"	"DMSO_2"	"DMSO_3"
"ENSG00000279244"	0	0	0	0	0	0
"ENSG00000274481"	0	0	0	0	0	0
"ENSG00000228594"	147	128	166	263	288	233
"ENSG00000272106"	113	81	133	161	150	187
"ENSG00000197530"	1947	1349	2237	1937	1624	1855
"ENSG00000189409"	50	13	62	28	20	16
"ENSG00000248333"	2265	1526	2502	2028	1778	1862
"ENSG00000272004"	11	3	9	7	7	6
"ENSG00000189339"	4250	2818	4649	4625	3956	4360
"ENSG00000269737"	92	81	96	107	116	111
"ENSG00000269227"	27	34	22	51	40	43
"ENSG00000215914"	16	7	6	7	11	8
"ENSG00000008128"	168	123	203	165	135	151
"ENSG00000268575"	199	106	145	186	193	209
"ENSG00000227775"	278	183	303	327	306	339
"ENSG00000215790"	335	199	359	341	289	307
"ENSG00000008130"	2673	1836	2961	2406	2209	2414
"ENSG00000078369"	14102	9698	15552	15287	14577	15002
"ENSG00000231050"	5	9	9	11	10	11
"ENSG00000169885"	42	19	35	28	33	23
"ENSG00000178821"	17	23	33	52	43	49
"ENSG00000142609"	13	17	19	16	13	29
"ENSG00000233542"	4	2	17	18	24	8
"ENSG00000187730"	15	10	15	20	14	25
"ENSG00000226969"	0	0	0	2	0	3
"ENSG00000067606"	296	197	382	352	276	324
"ENSG00000271806"	5	2	17	13	11	12
"ENSG00000182873"	190	95	178	184	145	143
"ENSG00000162585"	1864	1209	2033	1996	1804	2003
"ENSG00000234396"	0	0	0	0	0	1
"ENSG00000277082"	0	0	0	0	0	0
"ENSG00000157933"	4032	2826	4367	3854	3484	3711
"ENSG00000116151"	560	420	668	502	453	412
"ENSG00000272161"	0	2	0	2	0	0
"ENSG00000269896"	177	117	227	162	148	181
"ENSG00000272420"	11	16	19	7	4	8
"ENSG00000157916"	5058	3135	5318	4227	3798	4082
"ENSG00000157911"	779	474	775	609	594	590
"ENSG00000149527"	5	4	4	2	2	2
"ENSG00000224387"	0	0	0	0	0	0
"ENSG00000229393"	0	2	0	0	0	0
"ENSG00000157881"	995	626	1012	1047	999	978
"ENSG00000197921"	0	0	0	0	0	0
"ENSG00000272449"	17	17	18	22	35	33
"ENSG00000238164"	0	0	0	2	2	0
"ENSG00000157873"	65	49	69	98	101	98
"ENSG00000225931"	0	0	0	0	0	0
"ENSG00000228037"	0	0	0	2	2	0
"ENSG00000157870"	629	486	722	655	638	646
"ENSG00000142606"	0	0	0	4	1	0
"ENSG00000237058"	0	0	0	0	0	0
"ENSG00000215912"	20	12	28	14	22	27
"ENSG00000233234"	0	0	0	0	0	0
"ENSG00000231630"	0	0	0	0	0	0
"ENSG00000169717"	0	0	0	0	0	0
"ENSG00000177133"	0	0	0	0	0	0
"ENSG00000142611"	5	4	6	1	2	2
"ENSG00000226286"	0	0	0	0	0	0
"ENSG00000279839"	0	0	0	0	0	0
"ENSG00000272235"	2	0	0	0	0	0
"ENSG00000130762"	337	265	341	344	304	344
"ENSG00000272088"	9	1	8	9	3	6
"ENSG00000162591"	6121	3848	6202	5595	5043	5741
"ENSG00000207776"	0	0	0	1	0	0
"ENSG00000238260"	32	16	33	33	36	35
"ENSG00000158109"	1814	1214	2017	1600	1226	1473
"ENSG00000116213"	1160	799	1393	1127	1052	1105
"ENSG00000078900"	83	59	110	97	127	123
"ENSG00000227589"	0	0	2	0	2	0
"ENSG00000235131"	1	0	0	0	0	2
