"DMSO_1"	"DMSO_2"	"DMSO_3"	"NCEG2_1"	"NCEG2_2"	"NCEG2_3"
"ENSG00000279244"	0	0	0	0	0	0
"ENSG00000274481"	0	0	0	0	0	0
"ENSG00000228594"	263	288	233	264	237	261
"ENSG00000272106"	161	150	187	107	151	126
"ENSG00000197530"	1937	1624	1855	1287	1505	1425
"ENSG00000189409"	28	20	16	14	35	18
"ENSG00000248333"	2028	1778	1862	1718	1983	1854
"ENSG00000272004"	7	7	6	10	1	3
"ENSG00000189339"	4625	3956	4360	3085	3756	3741
"ENSG00000269737"	107	116	111	112	125	104
"ENSG00000269227"	51	40	43	22	32	50
"ENSG00000215914"	7	11	8	15	8	3
"ENSG00000008128"	165	135	151	134	163	151
"ENSG00000268575"	186	193	209	155	209	191
"ENSG00000227775"	327	306	339	251	294	257
"ENSG00000215790"	341	289	307	320	318	297
"ENSG00000008130"	2406	2209	2414	1893	2217	2171
"ENSG00000078369"	15287	14577	15002	14060	17255	15941
"ENSG00000231050"	11	10	11	0	6	11
"ENSG00000169885"	28	33	23	18	3	17
"ENSG00000178821"	52	43	49	68	69	52
"ENSG00000142609"	16	13	29	24	18	23
"ENSG00000233542"	18	24	8	6	12	10
"ENSG00000187730"	20	14	25	10	13	11
"ENSG00000226969"	2	0	3	0	6	0
"ENSG00000067606"	352	276	324	267	291	266
"ENSG00000271806"	13	11	12	6	16	5
"ENSG00000182873"	184	145	143	145	150	130
"ENSG00000162585"	1996	1804	2003	1476	1924	1747
"ENSG00000234396"	0	0	1	2	0	2
"ENSG00000277082"	0	0	0	0	0	0
"ENSG00000157933"	3854	3484	3711	2555	3250	3145
"ENSG00000116151"	502	453	412	383	365	407
"ENSG00000272161"	2	0	0	0	0	0
"ENSG00000269896"	162	148	181	106	139	143
"ENSG00000272420"	7	4	8	6	16	17
"ENSG00000157916"	4227	3798	4082	3392	4127	3725
"ENSG00000157911"	609	594	590	584	671	605
"ENSG00000149527"	2	2	2	0	6	8
"ENSG00000224387"	0	0	0	0	0	0
"ENSG00000229393"	0	0	0	0	0	0
"ENSG00000157881"	1047	999	978	868	1147	1190
"ENSG00000197921"	0	0	0	0	0	2
"ENSG00000272449"	22	35	33	30	40	52
"ENSG00000238164"	2	2	0	0	0	0
"ENSG00000157873"	98	101	98	61	73	82
"ENSG00000225931"	0	0	0	0	0	0
"ENSG00000228037"	2	2	0	0	2	2
"ENSG00000157870"	655	638	646	585	762	730
"ENSG00000142606"	4	1	0	0	0	2
"ENSG00000237058"	0	0	0	0	0	0
"ENSG00000215912"	14	22	27	9	6	15
"ENSG00000233234"	0	0	0	0	0	0
"ENSG00000231630"	0	0	0	0	0	0
"ENSG00000169717"	0	0	0	0	0	0
"ENSG00000177133"	0	0	0	0	0	0
"ENSG00000142611"	1	2	2	7	0	8
"ENSG00000226286"	0	0	0	0	0	0
"ENSG00000279839"	0	0	0	0	0	0
"ENSG00000272235"	0	0	0	0	0	0
"ENSG00000130762"	344	304	344	383	469	449
"ENSG00000272088"	9	3	6	2	2	6
"ENSG00000162591"	5595	5043	5741	4943	5812	5873
"ENSG00000207776"	1	0	0	0	0	0
"ENSG00000238260"	33	36	35	26	19	22
"ENSG00000158109"	1600	1226	1473	879	1026	1022
"ENSG00000116213"	1127	1052	1105	930	1121	1146
"ENSG00000078900"	97	127	123	67	104	63
"ENSG00000227589"	0	2	0	0	0	1
"ENSG00000235131"	0	0	2	0	0	0
